epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,18757.4,1.08788,0.90603,1.10267,0.74372,0.68322,0.73829,0.46939,1.32908,1.00903,1.27824,0.00063125,0.00063125,0.00063125
27,19454.2,1.07966,0.89471,1.09749,0.76965,0.66789,0.73552,0.46436,1.35828,1.00054,1.29357,0.0006065,0.0006065,0.0006065
28,20155.5,1.09877,0.90577,1.0949,0.73903,0.70025,0.75476,0.47255,1.3312,0.98196,1.27935,0.00058175,0.00058175,0.00058175
29,20855.6,1.07327,0.8794,1.08716,0.77723,0.70286,0.75173,0.47288,1.32686,0.97283,1.27949,0.000557,0.000557,0.000557
30,21553.1,1.05503,0.85747,1.08248,0.79302,0.66633,0.73934,0.45238,1.33305,1.02446,1.26014,0.00053225,0.00053225,0.00053225
31,22250.8,1.05269,0.85281,1.08146,0.73862,0.70124,0.739,0.47128,1.33916,0.98998,1.27682,0.0005075,0.0005075,0.0005075
32,22949.5,1.05417,0.84288,1.07869,0.77712,0.69845,0.75807,0.48593,1.33001,0.95238,1.2762,0.00048275,0.00048275,0.00048275
33,23647.8,1.05046,0.83252,1.08007,0.7951,0.68962,0.76986,0.49061,1.33796,0.96055,1.28423,0.000458,0.000458,0.000458
34,24345.6,1.04587,0.81972,1.07684,0.75108,0.68101,0.744,0.48189,1.31952,0.96268,1.25863,0.00043325,0.00043325,0.00043325
35,25045.2,1.03344,0.80834,1.06575,0.77676,0.71245,0.77246,0.49173,1.33736,0.94513,1.27832,0.0004085,0.0004085,0.0004085
36,25744,1.02882,0.80019,1.06375,0.80015,0.67731,0.76299,0.48516,1.32319,0.95295,1.26775,0.00038375,0.00038375,0.00038375
37,26444.3,1.01049,0.77628,1.05986,0.85274,0.68255,0.77783,0.50279,1.30555,0.92653,1.24956,0.000359,0.000359,0.000359
38,27146.7,1.01829,0.78282,1.05911,0.80866,0.68775,0.78312,0.50153,1.31694,0.95517,1.26231,0.00033425,0.00033425,0.00033425
39,27846.7,1.01016,0.76773,1.06058,0.80303,0.70021,0.78205,0.50164,1.3214,0.96455,1.27759,0.0003095,0.0003095,0.0003095
40,28548.6,1.00076,0.75343,1.0518,0.81892,0.70865,0.78433,0.50255,1.28921,0.94252,1.24933,0.00028475,0.00028475,0.00028475
41,29237.1,1.02865,0.72229,1.05784,0.77538,0.72664,0.77876,0.49426,1.3035,0.9358,1.26391,0.00026,0.00026,0.00026
42,29926.9,1.01597,0.68855,1.04193,0.80525,0.70688,0.78148,0.50595,1.29128,0.91377,1.25601,0.00023525,0.00023525,0.00023525
43,30618,1.00667,0.6709,1.03718,0.77701,0.73245,0.78058,0.50457,1.28645,0.92701,1.23902,0.0002105,0.0002105,0.0002105
44,31309.3,1.00078,0.65874,1.03393,0.79505,0.71246,0.78846,0.5191,1.27887,0.91004,1.24329,0.00018575,0.00018575,0.00018575
45,31999.3,0.98879,0.65158,1.02991,0.79756,0.72856,0.7889,0.51522,1.2701,0.9174,1.23148,0.000161,0.000161,0.000161
46,32688.9,0.98504,0.64052,1.02766,0.82128,0.72009,0.79245,0.51654,1.26977,0.91126,1.23508,0.00013625,0.00013625,0.00013625
47,33378.7,0.97716,0.6313,1.02393,0.81961,0.71965,0.79238,0.51318,1.27052,0.9026,1.23987,0.0001115,0.0001115,0.0001115
48,34068.4,0.96824,0.62496,1.01953,0.81793,0.71575,0.79702,0.51882,1.26428,0.89047,1.23339,8.675e-05,8.675e-05,8.675e-05
49,34758.7,0.96825,0.61467,1.01817,0.82469,0.72185,0.80084,0.51912,1.26111,0.89444,1.22627,6.2e-05,6.2e-05,6.2e-05
50,35449.2,0.96211,0.60837,1.01616,0.82742,0.71045,0.79967,0.52295,1.25709,0.88606,1.2252,3.725e-05,3.725e-05,3.725e-05
